Ruund	French
Kudiokal chisu chinicha Yesu wasambisha kurumburil mazu ma Nzamb anch: “Karumukany, udiokalany ku yitil yen, mulong Want wa Mwiur udi piswimp!”	Dès ce moment, Jésus se mit à prêcher: «Changez de comportement, disait-il, car le Royaume des cieux s'est approché!»
Yesu ukat kutazuk ayibind anying a ansh	Jésus appelle quatre pêcheurs
Pasutay Yesu pa chikumu cha dijiy dia Galalia, wayimana an a kamuntu aad, ayibind a ansh. Umwing wading Simon, upidilau anch, Pita, mukwau wading Andare, ading ni kukwat ansh mu dijiy nich wand.	Jésus marchait le long du lac de Galilée, lorsqu'il vit deux frères qui étaient pêcheurs, Simon, surnommé Pierre, et son frère André; ils pêchaient en jetant un filet dans le lac.
Yesu wayileja anch: “Nlondulany, wikalany in kwilej am. Chad nikez kukwinkishany ukash wa kulet antu kudi am mudi mukat kuletay chibind ansh mu waat.”	Jésus leur dit: «Venez avec moi et je ferai de vous des pêcheurs d'hommes.»
Pawiy kamu pinipa, awiy asha mand mau, aya nend.	Aussitôt, ils laissèrent leurs filets et le suivirent.
Ndiy wenda chintampu chikemp, chad wamana Jakobu ni Yohan, an amakundj a Zebede. Awiy ading mu waat nend tatukwau Zebede, ading ni kurijek mand mau. Yesu wayitazuka,	Il alla plus loin et vit deux autres frères, Jacques et Jean, les fils de Zébédée. Ils étaient dans leur barque avec Zébédée, leur père, et réparaient leurs filets. Jésus les appela;
pawiy pinipa asha waat, amusha kand tatukwau, chad amulondula Yesu.	aussitôt, ils laissèrent la barque et leur père et ils le suivirent.
Yesu ukat kulejan ni kwokan	Jésus enseigne et guérit
Yesu wendangana mwi ngand yawonsu ya Galalia. Walejananga mu yikumbu ya kulembil, ni kurumburil Rusangu Ruwamp ra Want wa Nzamb. Wayoka ayej a misong ya mitapu yawonsu.	Jésus allait dans toute la Galilée; il enseignait dans les synagogues de la région, proclamait la Bonne Nouvelle du Royaume et guérissait les gens de toutes leurs maladies et de toutes leurs infirmités.
Rusangu rend rapalangana mwi ngand yawonsu ya Siria, chad amuletodila ayej awonsu ading akweta misong ya mitapu yawonsu. Yesu wayoka kand antu awonsu ading akweta ayilembil, ni ading akweta musong wa kafefu, ni ading akweta musong wa kalip.	L'on entendit parler de lui dans tout le pays de Syrie et on lui amena tous ceux qui souffraient de diverses maladies ou étaient tourmentés par divers maux: ceux qui étaient possédés d'un esprit mauvais, ainsi que les épileptiques et les paralysés. Et Jésus les guérit.
Chisak chijim cha antu amulondula adiokala mwi ngand ya Galalia, ni mwi ngand ya Misumb Dikum, ni mu Yerusalem, ni mwi ngand ya Yudeya, ni mwi ngand ya ushad wa Yordan.	De grandes foules le suivirent; elles venaient de Galilée, de la région des Dix Villes, de Jérusalem, de Judée et du territoire situé de l'autre côté du Jourdain.
Yesu ukat kulejan pa mukandu	Le sermon sur la montagne
Yesu, chamanay chisak chijim nakash cha antu, ndiy wakandama pa mukandu, washakam pansh. In kwilejend amwombamu.	Quand Jésus vit ces foules, il monta sur une montagne et s'assit. Ses disciples vinrent auprès de lui
Ndiy wasambisha kuyilej anch:	et il se mit à leur donner cet enseignement:
Kuyuk kwakin	Le vrai bonheur
“Ayuk kwau antu ija anch: ‘Tukwet kuswir kwa yom ya Nzamb mu michim yetu.’ Inay awiy adia antu a mu Want wa Nzamb!	«Heureux ceux qui se savent pauvres en eux-mêmes, car le Royaume des cieux est à eux!
“Ayuk kwau antu akweta runeng. Nzamb ukez kuyongoj!	Heureux ceux qui pleurent, car Dieu les consolera!
“Ayuk kwau antu itudishina. Nzamb ukez kuyinkish yom yawonsu yayishilayimu!	Heureux ceux qui sont doux, car ils recevront la terre que Dieu a promise!
“Ayuk kwau antu akweta kuswir kwa kusal mudi musotilay Nzamb. Chawiy Nzamb ukez kuyikwash, chakwel akuwanyish kuswir kwau!	Heureux ceux qui ont faim et soif de vivre comme Dieu le demande, car Dieu exaucera leur désir!
“ Ayuk kwau antu akata kuyovil akwau riy. Nzamb ukez kuyovil niyau riy!	Heureux ceux qui ont de la compassion pour autrui, car Dieu aura de la compassion pour eux!
“Ayuk kwau antu adia zwang mu michim. Awiy akeza kumuman Nzamb!	Heureux ceux qui ont le cœur pur, car ils verront Dieu!
“Ayuk kwau ‘akata kuyisankesh akwau mulong wa kulet chisambu. Nzamb ukez kuyel anch: ‘Anam!’	Heureux ceux qui créent la paix autour d'eux, car Dieu les appellera ses fils!
“Ayuk kwau antu azengodilau mulong awiy akat kusal mudi musotilay Nzamb. Inay awiy adia antu a mu Want wa Mwiur!	Heureux ceux qu'on persécute parce qu'ils agissent comme Dieu le demande, car le Royaume des cieux est à eux!
“Wayukany kwen pakat kukuswingishanyau, ni kukuzengolany, ni kukutwambilany makasu kudi antu mulong wa kwingambat am.	Heureux êtes-vous si les hommes vous insultent, vous persécutent et disent faussement toute sorte de mal contre vous parce que vous croyez en moi.
Sangarany kwen ni kuzangijal, mulong akulamidinany difut dijim mwiur. Wawiy kand mutapu wayizengolau aruu a Nzamb pakur.	Réjouissez-vous, soyez heureux, car une grande récompense vous attend dans les cieux. C'est ainsi, en effet, qu'on a persécuté les prophètes qui ont vécu avant vous.»
Malejan ma mungu ni chimunyik	Le sel et la lumière
“En udiany mungu wa mangand. Pakwez mungu anch washadish kutal kwau, kwikil kand mutapu wa kuutadish. Wikal kal uyimp, chawiy akuudjibul, chad antu akuudjatol.	«C'est vous qui êtes le sel du monde. Mais si le sel perd son goût, comment pourrait-on le rendre de nouveau salé? Il n'est plus bon à rien; on le jette dehors, et les gens marchent dessus.
“En udiany chimunyik cha mangand. Musumb utungilau pa mukandu kakutwishap kuujindjik.	«C'est vous qui êtes la lumière du monde. Une ville construite sur une montagne ne peut pas être cachée.
Kwikil muntu ukata kulimik mwend wa kasu, chad waubwikin mwi nnungu. Pakwez akat kuutek pa ndond ya piur chakwel ukuyimunyikin antu awonsu adia mu chikumbu.	On n'allume pas une lampe pour la mettre sous un seau. Au contraire, on la place sur son support, d'où elle éclaire tous ceux qui sont dans la maison.
Chawiy chimwing, chifanyidin uman wen ni yisalijok yen yimekan kurutu kwa antu chakwel amushiman Tatukwen udia mwiur.	C'est ainsi que votre lumière doit briller devant les hommes, afin qu'ils voient le bien que vous faites et qu'ils louent votre Père qui est dans les cieux.»
Malejan ma Yijil	Enseignement au sujet de la loi
“Kangal watongany anch, am neza mulong wa kudiosh Yijil ya Moses ni malejan ma aruu a Nzamb. Kinezap mulong wa kuyidiosh, bwat, pakwez neza mulong wa kuwanyish malejan mau.	«Ne pensez pas que je sois venu supprimer la loi de Moïse et l'enseignement des prophètes. Je ne suis pas venu pour les supprimer mais pour leur donner tout leur sens.
Vurikany anch, anch diur ni divu yishich, kwikil kachikunku ka Chijil ap kusu kakemp kakez kudioshay, djat ni piyikeza kuwanyin yom yawonsu yalondau.	Je vous le déclare, c'est la vérité: aussi longtemps que le ciel et la terre dureront, ni la plus petite lettre ni le plus petit détail ne seront supprimés de la loi, et cela jusqu'à la fin de toutes choses.
Chawiy muntu mwawonsu ukata kubwambwil kachijil kakemp kupandakan, chad wayilej antu akwau kusal mwamu, ukez kwikal muntu mukemp kupandakan mu Want wa Mwiur. Pakwez muntu mwawonsu ukeza kuziyil ku Yijil, chad wayilej antu akwau kusal mwamu, ukez kwikal muntu mujim kupandakan mu Want wa Mwiur.	C'est pourquoi, celui qui écarte même le plus petit des commandements et enseigne aux autres à faire de même, sera le plus petit dans le Royaume des cieux. Mais celui qui l'applique et enseigne aux autres à faire de même, sera grand dans le Royaume des cieux.
Nakulejany chakin, pa kwandam mu Want wa Mwiur ching anch wikasikeshany kusal mudi musotilay Nzamb kuyipandakanamu alej a Yijil ni Afaris.	Je vous l'affirme: si vous n'êtes pas plus fidèles à la volonté de Dieu que les maîtres de la loi et les Pharisiens, vous ne pourrez pas entrer dans le Royaume des cieux.»
Malejan mulong wa ujim	Enseignement au sujet de la colère
“En akulejanya kal, angakiriletu ayileja pakur anch: ‘Kangal wajipanany. Muntu mwawonsu ukujipana akumutwal ku dirumburish.’	«Vous avez entendu qu'il a été dit à nos ancêtres: “Tu ne commettras pas de meurtre; tout homme qui en tue un autre mérite de comparaître devant le juge.”
Pakwez katat nakulejany anch, muntu mwawonsu ukumwovila mwanamakwend mu ritiy ujim akez kumutwal ku dirumburish. Muntu mwawonsu ukumuswingisha mwanamakend mu ritiy anch: ‘Ey udi muntu wamwamu!’ akez kumutwal ku dirumburish dijim. Chad muntu mwawonsu ukumupila mwanamakwend mu ritiy anch: ‘Ey udi chisup!’ chifanyidin kumudjibul mu Dijiy dia Kasu.	Eh bien, moi je vous déclare: tout homme qui se met en colère contre son frère mérite de comparaître devant le juge; celui qui dit à son frère: “Imbécile!” mérite d'être jugé par le Conseil supérieur; celui qui lui dit: “Idiot!” mérite d'être jeté dans le feu de l'enfer.
Anch usotil kupan yakupesh yey kudi Nzamb pa chintamb, kwinikwa anch wavurik anch: ‘Mwanamakwam mu ritiy ukwet mulong ni *	Si donc tu viens à l'autel présenter ton offrande à Dieu et que là tu te souviennes que ton frère a une raison de t'en vouloir,
shang yakupesh yey pa chintamb. Yang swa, kulany nend mwanamakwey wa mu ritiy, chad uchirik lel ni kwpan yakupesh yey kudi Nzamb.	laisse là ton offrande, devant l'autel, et va d'abord faire la paix avec ton frère; puis reviens et présente ton offrande à Dieu.
“Anch muntu wakufund, chad wakutwal ku dirumburish. swakal kwovijan nend mwi njil piwakad kal kushikany ku dirumburish. Mulong anch washikany kal kwinikwa, ndiy ukukupan kudi ankalansambu, chad ankalansambu akukupan kudi amasalay, chawiy amasalay akukudjibwil mu rukan.	«Si tu es en procès avec quelqu'un, dépêche-toi de te mettre d'accord avec lui pendant que vous êtes encore en chemin. Tu éviteras ainsi que ton adversaire ne te livre au juge, que le juge ne te remette à la police et qu'on ne te jette en prison.
Nakulej chakin kamu, ukushakam mwinimwa djat ni piukufutila chikal chend chawonsu.	Je te le déclare, c'est la vérité: tu ne sortiras pas de là tant que tu n'auras pas payé ta dette jusqu'au dernier centime.»
Malejan makangeshina kwimik dis	Enseignement au sujet de l'adultère
“En akulejanya kal anch: ‘Kangal wimikany dis.’	«Vous avez entendu qu'il a été dit: “Tu ne commettras pas d'adultère.”
Pakwez katat am nakulejany kal anch, muntu mwawonsu ukumutala mband wamwovil ris ra kulal nend, muntu mwinou wasal kal chitil cha kulal nend mu muchim wend.	Eh bien, moi je vous déclare: tout homme qui regarde la femme d'un autre en la désirant a déjà commis l'adultère avec elle en lui-même.
Anch dis diey dia katatuku diakutwal ku chitil, dibwita, udidjibul! Kushadish chid chimwing cha mujimbu chidi chom chikemp, pakwez chidi chom chiyimp kupandakan anch Nzamb waudjibul mujimbu wey wakabuj mu Dijiy dia Kasu.	Si donc c'est à cause de ton œil droit que tu tombes dans le péché, arrache-le et jette-le loin de toi: il vaut mieux pour toi perdre une seule partie de ton corps que d'être jeté tout entier dans l'enfer.
Anch chikas chey cha katatuku chakutwal ku chitil, chikatula, uchidjibul! Kushadish chid chimwing cha mujimbu chidi chom chikemp, pakwez chidi chom chiyimp kupandakan anch Nzamb wadjibul mujimbu wey wakabuj mu Dijiy dia Kasu.	Si c'est à cause de ta main droite que tu tombes dans le péché, coupe-la et jette-la loin de toi: il vaut mieux pour toi perdre un seul membre de ton corps que d'aller tout entier en enfer.»
Malejan makangeshina kujip uruu	Enseignement au sujet du divorce
“Alonda kand anch: ‘Muntu mwawonsu ukumulika mukajend chifanyidin kumufundil mukand wa kujip uruu.’	«Il a été dit aussi: “Celui qui renvoie sa femme doit lui donner une attestation de divorce.”
Pakwez katat am nakulejany kal anch, ikundj mwawonsu ukumulika mukajend wakad chitil cha kusochik, wamusadish kal chitil anch amwat kudi ikundj mukwau. Niyend ikundj ukumwata mband walikinau kal, ukusal chitil cha kusotan nend mband winiwa.	Eh bien, moi je vous déclare: tout homme qui renvoie sa femme, alors qu'elle n'a pas été infidèle, lui fait commettre un adultère si elle se remarie; et celui qui épouse une femme renvoyée par un autre commet aussi un adultère.»
Malejan makangeshina kuchip	Enseignement au sujet des serments
“En akulejanya kal kand, angakiriletu ayileja pakur anch: ‘Kangal wajip kushilamu kwey, pakwez wanyish yom yiwachipa kumusadil Chinawej.’	«Vous avez aussi entendu qu'il a été dit à nos ancêtres: “Ne romps pas ton serment, mais accomplis ce que tu as promis avec serment devant le Seigneur.”
Pakwez katat am nakulejany kal anch, kangal wez wachipany anch washilanyamu. Kangal wachipilany ku diur, mulong didi ditand dia Nzamb.	Eh bien, moi je vous dis de ne faire aucun serment: n'en faites ni par le ciel, car c'est le trône de Dieu;
Ap kangal wachipilany ku divu, mulong didi ndond yikat kwanzukay Nzamb mend. Kangal wachipilany ku Yerusalem, mulong udi musumb wa Mwant mujim.	ni par la terre, car elle est un escabeau sous ses pieds; ni par Jérusalem, car elle est la ville du grand Roi.
Ap kangal wachipilany ap kusu ku mitu yen, mulong kiukutwishanyap kutekaku ruswich rumwing rutok ap rujal.	N'en fais pas non plus par ta tête, car tu ne peux pas rendre blanc ou noir un seul de tes cheveux.
Londany kusu anch: ‘Mwawiy, nikusal,’ ap ‘Bwat, kinikusalap.” Yom yawonsu yiukuwejanyaku yidiokil kudi Sakudimban, ndiy kamu Muyimp.	Si c'est oui, dites “oui”, si c'est non, dites “non”, tout simplement; ce que l'on dit en plus vient du Mauvais.»
Malejan makangeshina kufundakesh	Enseignement au sujet de la vengeance
“En akulejanya kal anch: ‘Dis ku dis, dizeu ku dizeu.’	«Vous avez entendu qu'il a été dit: “Œil pour œil et dent pour dent.”
Pakwez katat am nakulejany kal anch, kangal wamufundakeshinany muntu mwawonsu ukukusalanya nayimp. Anch muntu wakubul disu mu ditam dia katatuku, mutila kand ditam dia kamaku, akubulamu.	Eh bien, moi je vous dis de ne pas vous venger de celui qui vous fait du mal. Si quelqu'un te gifle sur la joue droite, laisse-le te gifler aussi sur la joue gauche.
Anch muntu wakutwal ku dirumburish mulong wa kukwamuk chikut chey, mulika kwey akwamuk kand ni kabwik wey.	Si quelqu'un veut te faire un procès pour te prendre ta chemise, laisse-le prendre aussi ton manteau.
Anch muntu wakushinyin ku usu kumusendil difund diend kutwal chintampu chimwing, ey musendila, umutwadil ku yintampu yaad.	Si quelqu'un t'oblige à faire mille pas, fais-en deux mille avec lui.
Anch muntu wakwit chom, mwinkisha. Anch muntu usotil kukusondam chom, musondjika.	Donne à celui qui te demande quelque chose; ne refuse pas de prêter à celui qui veut t'emprunter.»
Yikatany akankuny	L'amour pour les ennemis
“En akulejanya kal anch: ‘Mukata ukukatila ey, mukisa ukukisina ey.’	«Vous avez entendu qu'il a été dit: “Tu dois aimer ton prochain et haïr ton ennemi.”
Pakwez katat nakulejany kal anch, yikatany akankuny nen, yilembidilany akata kukuzengolany en.	Eh bien, moi je vous dis: aimez vos ennemis et priez pour ceux qui vous persécutent.
Mwamu ukez kwikalany an a Tatukwen udia mwiur. Mulong ndiy ukat kupan muten watangay kuyimunyikin antu ayimp ni antu awamp kwakad kasolikany. Ukat kunakish kand ruvul kunakin kudi antu in kusal nawamp ni in kusal nayimp.	Ainsi vous deviendrez les fils de votre Père qui est dans les cieux. Car il fait lever son soleil aussi bien sur les méchants que sur les bons, il fait pleuvoir sur ceux qui lui sont fidèles comme sur ceux qui ne le sont pas.
Nzamb kakukuyukishanyap anch en wayikatany ching kusu antu akukatilanya. In kulambwish yitad niyau akat kusal mwamu!	Si vous aimez seulement ceux qui vous aiment, pourquoi vous attendre à recevoir une récompense de Dieu? Même les collecteurs d'impôts en font autant!
Anch en ukat kuyilangwishany ching kusu arund nen, kiusadilanyap chom chijim, mulong antu akad kal kwikal in Kristu niyau akat kusal mwamu!	Si vous ne saluez que vos frères, faites-vous là quelque chose d'extraordinaire? Même les païens en font autant!
Ikalany awanyidina mudi Tatukwen udia mwiur chidiay uwanyidina!	Soyez donc parfaits, tout comme votre Père qui est au ciel est parfait.»
Malejan ma kupan yom ya riy	Enseignement au sujet des dons faits aux pauvres
“Babalany! Kangal wasalany midimu yiwamp ya ritiy ren patok chakwel antu akumanany. Anch wasalany mwamu, Tatukwen udia mwiur kakufutanyap.	«Gardez-vous d'accomplir vos devoirs religieux en public, pour que tout le monde vous remarque. Sinon, vous ne recevrez pas de récompense de votre Père qui est dans les cieux.
